Dan_Heng|丹恒
March_7th|三月七
Himeko|姬子
Trailblazer|开拓者
Welt|瓦尔特
Blade|刃
Firefly|流萤
Kafka|卡芙卡
Silver_Wolf|银狼
Arlan|阿兰
Asta|艾丝妲
Herta|黑塔
Ruan_Mei|阮·梅
The_Herta|大黑塔
Hook|虎克
Luka|卢卡
Lynx|琳
Natasha|娜塔莎
Pela|佩拉
Sampo|桑博
Serval|希儿瓦
Bronya|布洛妮娅
Clara|克拉拉
Gepard|杰帕德
Seele|希儿
Guinaifen|桂乃芬
Hanya|寒鸦
Moze|莫泽
Qingque|青雀
Sushang|素裳
Tingyun|停云
Xueyi|雪衣
Yukong|驭空
Bailu|白露
Dan_Heng_•_Imbibitor_Lunae|丹恒·饮月
Feixiao|飞霄
Fu_Xuan|符玄
Fugue|忘归人
Huohuo|霍霍
Jiaoqiu|椒丘
Jing_Yuan|景元
Jingliu|镜流
Lingsha|灵砂
Luocha|罗刹
Yanqing|彦卿
Yunli|云璃
Gallagher|加拉赫
Misha|米沙
Robin|知更鸟
Aventurine|砂金
Jade|翡翠
Topaz_%26_Numby|托帕&账账
Acheron|黄泉
Argenti|银枝
Black_Swan|黑天鹅
Boothill|波提欧
Dr._Ratio|真理医生
Rappa|乱破
Sparkle|花火
Sunday|星期日
Aglaea|阿格莱亚
Castorice|遐蝶
Mydei|万敌
Tribbie|缇宝
Anaxa|那刻夏
Cerydra|刻律德菈
Cipher|赛飞儿
Hyacine|风堇
Hysilens|海瑟音
Phainon|白厄
Archer|红A(联动角色)
Saber|亚瑟王(联动角色)
