Varesa|瓦雷莎
Iansan|伊安珊
Yumemizuki_Mizuki|梦见月瑞希
Lan_Yan|蓝砚
Ororon|欧洛伦
Mavuika|玛薇卡
Citlali|茜特菈莉
Chasca|恰斯卡
Xilonen|希诺宁
Kinich|基尼奇
Mualani|玛拉妮
Kachina|卡齐娜
Emilie|艾梅莉埃
Sigewinne|希格雯
Clorinde|克洛琳德
Sethos|塞索斯
Arlecchino|阿蕾奇诺
Chiori|千织
Xianyun|闲云
Gaming|嘉明
Chevreuse|瑟芙蕾娜
Navia|娜维娅
Furina|芙宁娜
Charlotte|夏洛蒂
Wriothesley|莱欧斯利
Neuvillette|那维莱特
Freminet|菲米尼
Lyney|林尼
Lynette|琳妮特
Kirara|绮良良
Baizhu|白术
Kaveh|卡维
Mika|米卡
Dehya|迪希雅
Alhaitham|艾尔海森
Yaoyao|瑶瑶
Wanderer|流浪者
Faruzan|珐露珊
Layla|莱依拉
Nahida|纳西妲
Nilou|妮露
Cyno|赛诺
Candace|坎蒂丝
Dori|多莉
Tighnari|提纳里
Collei|柯莱
Shikanoin_Heizou|鹿野院平藏
Kuki_Shinobu|久岐忍
Yelan|夜兰
Kamisato_Ayato|神里绫人
Yae_Miko|八重神子
Shenhe|申鹤
Yun_Jin|云堇
Arataki_Itto|荒泷一斗
Gorou|五郎
Thoma|托马
Sangonomiya_Kokomi|珊瑚宫心海
Raiden_Shogun|雷电将军
Aloy|埃洛伊
Kujou_Sara|九条裟罗
Yoimiya|宵宫
Sayu|早柚
Kamisato_Ayaka|神里绫华
Kaedehara_Kazuha|枫原万叶
Eula|优菈
Yanfei|烟绯
Rosaria|罗莎莉亚
Hu_Tao|胡桃
Xiao|魈
Ganyu|甘雨
Albedo|阿贝多
Zhongli|钟离
Xinyan|辛焱
Tartaglia|达达利亚
Diona|迪奥娜
Klee|可莉
Diluc|迪卢克
Mona|莫娜
Keqing|刻晴
Jean|琴
Venti|温迪
Qiqi|七七
Traveler|旅行者
Amber|安柏
Bennett|班尼特
Xiangling|香菱
Barbara|芭芭拉
Xingqiu|行秋
Beidou|北斗
Fischl|菲谢尔
Lisa|丽莎
Razor|雷泽
Sucrose|砂糖
Chongyun|重云
Kaeya|凯亚
Ningguang|凝光
Noelle|诺艾尔
